DeviceNum,Category,XLE_MAC,XB_MAC,XLE_IP,XLE_Version,XB_Version,RSRP_dBm,RSRQ_dB,SNR_dB,RSSI_dBm,RadioEnvConditions,BandInfo_dmcli,Band_actual,EARFCN,BandBW_MHz,CA_Active,CA_TotalBW_MHz,PCI,GlobalCellId,TAC,TimingAdvance_us,CellDistance_km,DL_Mbps,UL_Mbps,Ping_ms,Latency_avg_ms,Latency_min_ms,Latency_max_ms,PacketLoss_pct,SpeedtestServer,ServerDistance_km,Neighbors_IntraFreq,Neighbors_InterFreq,PLMN,UE_InIdle_During_Test,Serving_RSRP_Connected_dBm,Serving_RSRQ_Connected_dB,SNR_During_Test_dB,Timestamp
63,FAIR,d8:9c:8e:00:1c:8e,F8:D0:0E:48:49:DC,169.254.1.236,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-98,-12,6.6,-63,FAIR,13,eutran-2,875,10,No,10,30,31260686,30725,,,,127.87,39.05,40.539,25.598,14.534,116.179,0,,,0,0,311048,No,-97.8,-12.7,6.6,2026-06-04T12:05Z
64,FAIR,d8:9c:8e:00:1c:e8,B8:A5:35:A4:5B:C6,169.254.1.77,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-100,-10,8.0,-67,FAIR,4,eutran-4,2050,10,No,10,418,51790614,51725,,,,81.53,117.97,98.238,20.035,10.822,59.986,0,,,0,0,311048,No,-98.5,-11.1,6.2,2026-06-04T12:15Z
65,FAIR,d8:9c:8e:00:1e:0f,80:DA:C2:8E:3D:C4,169.254.1.84,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p14s1_PROD_sey,-98,-12,3.8,-68,FAIR,4,eutran-4,2125,10,No,10,157,25133078,25097,,,,166.21,40.85,37.629,23.840,17.648,44.733,1,,,0,0,311048,No,-96.3,-12.0,0.0,2026-06-04T12:25Z
66,FAIR,d8:9c:8e:00:1e:d7,80:DA:C2:C4:E1:64,169.254.1.35,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-103,-12,10.6,-70,FAIR,13,eutran-4,2150,10,No,10,67,46673686,46592,,,,75.56,158.51,25.614,23.133,19.310,29.035,0,,,0,0,311048,No,-98.8,-7.9,8.8,2026-06-04T12:40Z
67,FAIR,,,169.254.1.50,,,,,,,FAIR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T12:42Z
68,FAIR,d8:9c:8e:00:1e:eb,1C:9E:CC:21:B3:D4,169.254.1.55,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-99,-11,15.4,-70,FAIR,4,eutran-4,2050,10,No,10,234,37998614,37888,,,,110.89,143.91,27.569,18.936,9.566,85.981,0,,,0,0,311048,No,-99.2,-6.4,16.6,2026-06-04T12:50Z
69,FAIR,d8:9c:8e:00:1f:4f,C4:50:9C:45:F3:CC,169.254.1.11,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-103,-15,4.2,-69,FAIR,4,eutran-4,2100,10,No,10,302,157356832,3584,,,,130.02,38.50,81.617,16.287,8.437,52.905,0,,,0,0,311048,No,-100.7,-16.5,5.2,2026-06-04T13:15Z
70,FAIR,d8:9c:8e:00:1f:86,98:9D:5D:87:32:34,169.254.1.66,WNXL11BWL_8.3p7s1_PROD_sey,,,-101,-16,5.4,-71,FAIR,13,eutran-13,5230,10,No,10,164,62013955,61954,,,,105.50,37.86,38.031,17.771,10.289,57.774,0,,,0,0,311048,No,-102.4,-13.5,5.6,2026-06-04T13:25Z
71,FAIR,d8:9c:8e:00:1f:fe,B8:5E:71:42:AB:79,169.254.1.42,WNXL11BWL_8.3p11s1_PROD_sey,,,-99,-19,-2.2,-63,FAIR,13,eutran-2,1000,20,No,20,280,3607320,3584,,,,149.96,98.44,42.785,30.771,22.360,65.003,0,,,2,3,311048,No,-99.0,-9.9,15.4,2026-06-04T13:35Z
72,FAIR,d8:9c:8e:00:20:49,1C:9E:CC:21:A4:FC,169.254.1.117,WNXL11BWL_8.3p7s1_PROD_sey,,,-95,-16,10.8,-65,FAIR,4,eutran-2,1000,20,No,20,295,14661154,14595,,,,80.72,38.51,48.791,21.051,15.042,54.263,0,,,1,5,311048,No,-96.3,-12.7,12.0,2026-06-04T13:45Z
73,FAIR,d8:9c:8e:00:21:ca,70:13:01:C6:5C:DC,169.254.1.111,WNXL11BWL_8.3p11s1_PROD_sey,,,-101,-10,16.4,-70,FAIR,3,eutran-4,2125,10,No,10,349,77148438,270,,,,148.71,40.82,30.622,18.146,12.069,54.138,0,,,1,2,311048,No,-102.9,-10.0,17.6,2026-06-04T14:05Z
74,FAIR,d8:9c:8e:00:22:97,E0:DB:D1:D9:45:61,169.254.1.170,WNXL11BWL_8.3p11s1_PROD_sey,,,-100,-13,3.6,-63,FAIR,4,eutran-4,2050,10,No,10,388,44072726,44032,,,,121.89,40.06,53.005,19.732,12.267,107.703,0,,,2,0,311048,No,-97.3,-10.1,0.0,2026-06-04T14:15Z
75,FAIR,d8:9c:8e:00:23:aa,5C:7D:7D:51:52:C4,169.254.1.52,WNXL11BWL_8.3p11s1_PROD_sey,,,-102,-7,7.0,-78,FAIR,4,eutran-66,67086,20,No,20,60,78107920,1286,,,,151.66,39.89,38.071,16.662,10.586,56.302,0,,,1,0,311048,No,-101.3,-7.0,17.4,2026-06-04T14:25Z
76,POOR,,,169.254.1.243,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:30Z
77,POOR,,,169.254.1.47,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:35Z
78,POOR,d8:9c:8e:00:17:4d,1C:9E:CC:21:C0:A4,169.254.1.109,WNXL11BWL_8.3p11s1_PROD_sey,,,-104,-17,16.0,-76,FAIR,13,eutran-66,67086,20,No,20,287,26187302,26115,,,,17.46,2.60,72.13,19.232,12.932,24.094,0,GoNetspeed (Phelps NY),356.73,1,6,311048,Yes,-99.9,-11.4,3.8,2026-06-04T14:40Z
79,POOR,,,169.254.1.66,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:45Z
80,POOR,,,169.254.1.77,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:50Z
81,POOR,,,169.254.1.165,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:55Z
82,POOR,,,169.254.1.141,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T15:00Z
83,POOR,,,169.254.1.226,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T15:05Z
84,POOR,d8:9c:8e:00:1c:93,64:67:72:8F:62:05,169.254.1.241,WNXL11BWL_8.3p7s1_PROD_sey,,,-105,-11,6.8,-75,POOR,4,eutran-4,2050,20,No,20,340,44382732,44298,,,,186.68,121.62,33.651,22.976,11.513,117.384,2,,,1,0,311048,Yes,-105.6,-9.1,9.8,2026-06-04T15:10Z
85,POOR,d8:9c:8e:00:1c:c5,64:67:72:8F:5B:52,169.254.1.42,WNXL11BWL_8.3p11s1_PROD_sey,,,-109,-14,3.8,-77,POOR,3,eutran-4,2050,20,No,20,407,44375830,44303,,,,111.75,130.28,33.462,18.764,10.228,66.240,0,,,1,0,311048,Yes,-109.4,-12.3,5.2,2026-06-04T15:15Z
86,POOR,d8:9c:8e:00:1d:1a,80:DA:C2:FB:AA:70,169.254.1.234,WNXL11BWL_8.3p7s1_PROD_sey,,,-101,-14,3.8,-67,FAIR,4,eutran-4,2125,20,No,20,354,25915148,25858,,,,88.84,37.78,40.371,20.492,14.336,110.434,0,,,2,2,311048,Yes,-99.6,-15.2,1.0,2026-06-04T15:25Z
87,POOR,d8:9c:8e:00:1d:92,5C:22:DA:3D:23:33,169.254.1.103,WNXL11BWL_8.3p11s1_PROD_sey,,,-112,-15,-0.2,-77,POOR,13,eutran-13,5230,10,No,10,127,655106,513,,,,103.12,40.53,23.08,18.325,12.297,62.169,0,,,2,0,311048,Yes,-113.3,-16.9,-1.0,2026-06-04T15:35Z
88,POOR,d8:9c:8e:00:1e:28,5C:22:DA:3C:BF:3B,169.254.1.109,WNXL11BWL_8.3p7s1_PROD_sey,,,-117,-20,-5.2,-77,POOR,4,eutran-4,2125,20,No,20,75,25496588,25344,,,,151.36,33.81,45.143,21.602,13.434,81.932,0,,,1,0,311048,Yes,-116.4,-17.4,-6.2,2026-06-04T15:45Z
89,POOR,d8:9c:8e:00:1e:7d,10:36:AA:2C:E7:50,169.254.1.194,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-109,-15,3.2,-81,POOR,3,eutran-2,1000,10,No,10,264,26146574,26121,,,,115.18,38.80,42.511,25.076,16.421,65.313,0,,,1,0,311048,Yes,-109.8,-15.8,2.6,2026-06-04T16:00Z
90,POOR,d8:9c:8e:00:1f:09,5C:22:DA:3D:1C:33,169.254.1.190,WNXL11BWL_8.3p11s1_PROD_sey,CGM601TCOM_8.5p1s3_PROD_sey,-103,-11,14.8,-66,FAIR,3,eutran-4,2050,10,No,10,317,44299788,44303,,,,90.01,120.63,34.523,19.196,10.821,74.276,0,,,0,0,311048,No,-100.1,-8.1,16.6,2026-06-04T16:10Z
91,POOR,d8:9c:8e:00:1f:bd,1C:9D:72:2D:0D:04,169.254.1.121,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.5p2s3_PROD_sey,-115,-18,1.2,-78,POOR,13,eutran-13,5230,10,No,10,174,16916225,16898,,,,125.41,129.89,35.156,19.283,10.540,59.818,0,,,1,0,311048,Yes,-112.8,-17.8,-0.8,2026-06-04T16:20Z
92,POOR,,,169.254.1.207,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T16:25Z
93,POOR,d8:9c:8e:00:20:ad,AC:4C:A5:B4:A8:80,169.254.1.217,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-113,-11,8.2,-81,POOR,3,eutran-4,2050,10,No,10,252,44073996,44034,,,,205.53,59.62,28.314,19.196,10.054,137.764,0,,,1,1,311048,Yes,-112.3,-15.4,8.0,2026-06-04T16:35Z
94,POOR,d8:9c:8e:00:22:6a,E0:DB:D1:43:57:C9,169.254.1.125,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-111,-16,3.0,-79,POOR,13,eutran-4,2050,10,No,10,247,48897312,48919,,,,143.77,170.34,28.863,18.498,10.631,121.123,0,,,2,3,311048,Yes,-110.5,-14.7,0.0,2026-06-04T16:45Z
95,POOR,d8:9c:8e:00:22:a6,B8:A5:35:A6:2F:AE,169.254.1.185,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-109,-9,1.0,-81,POOR,3,eutran-4,2050,10,No,10,480,265610240,44532,,,,101.77,103.97,41.434,18.278,8.882,79.286,2,,,3,3,311048,Yes,-109.9,-7.9,6.4,2026-06-04T16:55Z
96,POOR,d8:9c:8e:00:22:b5,1C:9D:72:27:4D:E4,169.254.1.200,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-114,-13,4.8,-79,POOR,4,eutran-4,2050,10,No,10,95,15648800,15617,,,135.82,39.64,33.249,19.718,12.041,136.627,0,,,0,3,311048,Yes,-115.8,-13.0,3.0,2026-06-04T14:01Z
97,POOR,,,169.254.1.217,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:05Z
98,POOR,,,169.254.1.235,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:08Z
99,POOR,,,169.254.1.241,,,,,,,POOR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T14:10Z
