"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:1a:95","64:67:72:8F:70:28",POOR
"d8:9c:8e:00:1a:9a","D4:E2:CB:CF:F8:58",FAIR
"d8:9c:8e:00:1a:c7","80:DA:C2:8E:C2:1C",FAIR
"d8:9c:8e:00:1a:e0","1C:9E:CC:21:9A:FC",POOR
"d8:9c:8e:00:1b:21","00:CB:7A:C5:00:D8",EXCELLENT
"d8:9c:8e:00:1b:49","80:DA:C2:FA:66:90",EXCELLENT
"d8:9c:8e:00:1b:58","58:96:30:90:92:AA",POOR
"d8:9c:8e:00:1b:5d","5C:22:DA:3C:E7:5F",POOR
"d8:9c:8e:00:1b:62","0C:FE:7B:E7:FC:3C",POOR
"d8:9c:8e:00:1b:6c","C4:50:9C:A8:1D:44",FAIR
"d8:9c:8e:00:1b:71","70:13:01:5B:85:6C",POOR
"d8:9c:8e:00:1b:8a","94:04:E3:CE:D6:2C",GOOD
"d8:9c:8e:00:1b:94","80:DA:C2:90:5F:7C",FAIR
"d8:9c:8e:00:1b:9e","1C:9E:CC:21:8A:7C",POOR
"d8:9c:8e:00:1b:a3","64:67:72:8F:5F:34",GOOD
"d8:9c:8e:00:1b:a8","40:0F:C1:46:0E:5E",FAIR
"d8:9c:8e:00:1b:ad","80:DA:C2:EE:EA:70",POOR
"d8:9c:8e:00:1b:b7","1C:9E:CC:21:AB:14",POOR
"d8:9c:8e:00:1b:c6","5C:22:DA:3C:D7:4B",POOR
"d8:9c:8e:00:1c:07","5C:22:DA:3D:1E:63",POOR
"d8:9c:8e:00:1c:0c","AC:4C:A5:48:FD:EC",GOOD
"d8:9c:8e:00:1c:25","64:67:72:8F:70:7C",GOOD
"d8:9c:8e:00:1c:2f","5C:22:DA:3C:B6:5F",POOR
"d8:9c:8e:00:1c:43","5C:22:DA:3C:DA:07",GOOD
"d8:9c:8e:00:1c:61","3C:82:C0:08:DA:0C",FAIR
"d8:9c:8e:00:1c:6b","5C:7D:7D:2D:8D:9F",FAIR
"d8:9c:8e:00:1c:70","5C:22:DA:3C:EF:3F",FAIR
"d8:9c:8e:00:1c:7f","5C:7D:7D:78:94:AC",FAIR
"d8:9c:8e:00:1c:84","5C:7D:7D:4E:6C:7E",POOR
"d8:9c:8e:00:1c:8e","F8:D0:0E:48:49:DC",FAIR
"d8:9c:8e:00:1c:93","64:67:72:8F:62:05",POOR
"d8:9c:8e:00:1c:ac","00:CB:7A:FD:73:D1",FAIR
"d8:9c:8e:00:1c:b6","1C:9E:CC:D3:60:F6",FAIR
"d8:9c:8e:00:1c:c0","1C:9E:CC:52:F4:70",POOR
"d8:9c:8e:00:1c:c5","64:67:72:8F:5B:52",POOR
"d8:9c:8e:00:1c:cf","1C:9E:CC:56:F1:C1",GOOD
"d8:9c:8e:00:1c:d4","64:67:72:AD:9A:CA",GOOD
"d8:9c:8e:00:1c:e3","80:DA:C2:92:8E:D4",FAIR
"d8:9c:8e:00:1c:e8","B8:A5:35:A4:5B:C6",FAIR
"d8:9c:8e:00:1c:ed","1C:9D:72:07:07:70",GOOD
"d8:9c:8e:00:1d:1a","80:DA:C2:FB:AA:70",POOR
"d8:9c:8e:00:1d:1f","5C:7D:7D:4D:91:5C",FAIR
"d8:9c:8e:00:1d:33","48:BD:CE:1D:7F:42",EXCELLENT
"d8:9c:8e:00:1d:92","5C:22:DA:3D:23:33",POOR
"d8:9c:8e:00:1d:ab","5C:22:DA:3C:FA:13",FAIR
"d8:9c:8e:00:1d:b5","AC:DB:48:11:EE:0D",FAIR
"d8:9c:8e:00:1d:c9","E4:BF:FA:7D:4B:3D",EXCELLENT
"d8:9c:8e:00:1d:e7","D4:E2:CB:D7:C1:48",POOR
"d8:9c:8e:00:1d:ec","1C:9E:CC:21:A5:FC",EXCELLENT
"d8:9c:8e:00:1d:f1","0C:FE:7B:79:4D:F4",POOR
"d8:9c:8e:00:1e:00","D4:E2:CB:D7:D8:78",FAIR
"d8:9c:8e:00:1e:05","C0:94:35:D1:E1:7F",GOOD
"d8:9c:8e:00:1e:0f","80:DA:C2:8E:3D:C4",FAIR
"d8:9c:8e:00:1e:19","0C:FE:7B:38:DC:A4",FAIR
"d8:9c:8e:00:1e:28","5C:22:DA:3C:BF:3B",POOR
