"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:32:32","80:DA:C2:0A:3F:EF",POOR
"d8:9c:8e:00:32:3c","C4:50:9C:1F:8F:74",POOR
"d8:9c:8e:00:32:46","B8:5E:71:F9:AD:4C",POOR
"d8:9c:8e:00:32:50","AC:4C:A5:4F:6E:D5",POOR
"d8:9c:8e:00:32:5a","58:96:30:3F:C1:C2",EXCELLENT
"d8:9c:8e:00:32:64","D4:E2:CB:D4:F7:68",FAIR
"d8:9c:8e:00:32:73","C4:50:9C:FC:71:D4",GOOD
"d8:9c:8e:00:32:7d","0C:FE:7B:2E:AC:24",POOR
"d8:9c:8e:00:32:cd","80:DA:C2:91:3D:1C",GOOD
"d8:9c:8e:00:32:e1","1C:9E:CC:21:BC:4C",POOR
"d8:9c:8e:00:32:fa","80:DA:C2:23:55:80",FAIR
"d8:9c:8e:00:32:ff","1C:9E:CC:21:AB:D4",FAIR
"d8:9c:8e:00:33:13","1C:9E:CC:21:81:4C",GOOD
"d8:9c:8e:00:33:18","5C:22:DA:3C:D9:27",GOOD
"d8:9c:8e:00:33:22","D4:E2:CB:D6:7C:E0",POOR
"d8:9c:8e:00:33:2c","40:0F:C1:40:9E:FE",POOR
"d8:9c:8e:00:33:36","5C:22:DA:3C:DE:F3",POOR
"d8:9c:8e:00:33:40","98:9D:5D:CF:30:7A",GOOD
"d8:9c:8e:00:33:4f","3C:82:C0:09:C2:DC",GOOD
"d8:9c:8e:00:33:59","1C:9E:CC:21:B1:CC",FAIR
"d8:9c:8e:00:33:5e","58:96:30:90:AD:0D",POOR
"d8:9c:8e:00:33:6d","5C:7D:7D:20:2D:2C",FAIR
"d8:9c:8e:00:33:77","8C:6A:8D:F9:6F:2B",POOR
"d8:9c:8e:00:33:86","5C:22:DA:3D:06:A7",FAIR
"d8:9c:8e:00:33:8b","A8:70:5D:B9:6B:4A",GOOD
"d8:9c:8e:00:33:9a","5C:7D:7D:2A:1E:46",GOOD
"d8:9c:8e:00:33:a4","5C:22:DA:3D:04:5B",FAIR
"d8:9c:8e:00:33:b3","1C:93:7C:5A:FC:A9",POOR
"d8:9c:8e:00:33:b8","5C:22:DA:3D:0E:6B",POOR
"d8:9c:8e:00:33:c2","80:DA:C2:12:D3:FE",EXCELLENT
"d8:9c:8e:00:33:f4","64:67:72:8F:70:75",FAIR
"d8:9c:8e:00:33:fe","98:9D:5D:5F:56:EF",FAIR
"d8:9c:8e:00:34:0d","C4:50:9C:0D:D9:B8",EXCELLENT
"d8:9c:8e:00:34:12","1C:9E:CC:21:A6:64",POOR
"d8:9c:8e:00:34:26","1C:9E:CC:21:A7:1C",FAIR
"d8:9c:8e:00:34:2b","5C:22:DA:3D:01:9F",GOOD
"d8:9c:8e:00:34:3f","1C:9E:CC:0C:BB:55",GOOD
"d8:9c:8e:00:34:44","64:67:72:8F:5D:90",POOR
"d8:9c:8e:00:34:49","1C:9D:72:D2:84:12",POOR
"d8:9c:8e:00:34:4e","64:67:72:8F:47:86",FAIR
"d8:9c:8e:00:34:58","1C:9E:CC:21:B2:14",POOR
"d8:9c:8e:00:34:85","E4:BF:FA:85:3E:BC",POOR
"d8:9c:8e:00:34:8a","A8:70:5D:E2:B2:BE",POOR
"d8:9c:8e:00:34:99","38:3F:B3:15:68:01",POOR
"d8:9c:8e:00:34:9e","80:DA:C2:7A:1C:AC",POOR
"d8:9c:8e:00:34:a3","00:CB:7A:CB:AE:C8",FAIR
"d8:9c:8e:00:34:b7","C4:50:9C:F9:16:A4",POOR
"d8:9c:8e:00:34:bc","B8:5E:71:F3:F3:C4",GOOD
"d8:9c:8e:00:34:d0","F4:C1:14:F9:70:D0",FAIR
"d8:9c:8e:00:34:df","70:13:01:F2:F6:B4",GOOD
"d8:9c:8e:00:35:2f","58:96:30:3F:CC:65",POOR
"d8:9c:8e:00:35:3e","1C:9E:CC:21:AD:0C",FAIR
"d8:9c:8e:00:35:5c","48:BD:CE:83:1D:A4",POOR
"d8:9c:8e:00:35:70","5C:22:DA:3C:9B:5B",FAIR
"d8:9c:8e:00:35:84","1C:9E:CC:21:A4:44",POOR
"d8:9c:8e:00:35:93","1C:9E:CC:21:94:CC",FAIR
"d8:9c:8e:00:35:b1","00:CB:7A:CC:21:78",FAIR
"d8:9c:8e:00:35:b6","80:DA:C2:8E:97:C4",GOOD
"d8:9c:8e:00:35:bb","64:67:72:8F:5C:DA",FAIR
"d8:9c:8e:00:35:ca","1C:9E:CC:21:BE:2C",POOR
"d8:9c:8e:00:35:d4","64:67:72:AD:E8:95",GOOD
"d8:9c:8e:00:35:de","5C:22:DA:3D:05:8F",FAIR
"d8:9c:8e:00:35:f2","5C:22:DA:3D:00:BF",FAIR
"d8:9c:8e:00:35:fc","C4:50:9C:72:C9:FC",EXCELLENT
"d8:9c:8e:00:38:f4","B8:5E:71:42:FC:69",FAIR
"d8:9c:8e:00:39:0d","B8:5E:71:3E:4D:39",POOR
"d8:9c:8e:00:39:12","B8:A5:35:9C:0A:BE",FAIR
"d8:9c:8e:00:39:3a","F8:5E:42:3E:11:AC",FAIR
"d8:9c:8e:00:39:4e","A8:70:5D:69:89:06",FAIR
"d8:9c:8e:00:39:71","10:A7:93:0D:C9:C0",POOR
"d8:9c:8e:00:39:8a","0C:FE:7B:D2:02:6C",POOR
"d8:9c:8e:00:39:8f","C4:4F:D5:F5:05:8C",GOOD
"d8:9c:8e:00:39:94","0C:FE:7B:7F:1D:AC",FAIR
"d8:9c:8e:00:39:99","F4:C1:14:F9:FD:16",EXCELLENT
"d8:9c:8e:00:39:a8","E0:DB:D1:E5:79:1A",GOOD
"d8:9c:8e:00:39:b7","00:CB:7A:C7:49:C0",POOR
"d8:9c:8e:00:39:d5","40:75:C3:ED:C7:14",POOR
"d8:9c:8e:00:39:da","40:75:C3:F9:08:DC",FAIR
"d8:9c:8e:00:39:df","5C:7D:7D:F2:DC:9D",FAIR
"d8:9c:8e:00:39:e9","80:DA:C2:90:81:64",FAIR
"d8:9c:8e:00:39:f3","10:A7:93:07:B0:20",FAIR
"d8:9c:8e:00:3a:02","0C:FE:7B:A4:09:64",POOR
"d8:9c:8e:00:3a:07","D4:6C:6D:80:E9:C0",FAIR
"d8:9c:8e:00:3a:1b","94:04:E3:E9:7C:74",POOR
"d8:9c:8e:00:3a:20","B8:5E:71:49:62:21",FAIR
"d8:9c:8e:00:3a:25","40:75:C3:02:CD:B0",GOOD
"d8:9c:8e:00:3a:2f","00:CB:7A:C5:CF:18",GOOD
"d8:9c:8e:00:3a:34","94:04:E3:8B:23:EC",POOR
"d8:9c:8e:00:3a:4d","40:0F:C1:89:F0:2B",FAIR
"d8:9c:8e:00:3a:70","C4:4F:D5:CB:5B:EC",POOR
"d8:9c:8e:00:3a:89","A8:70:5D:68:63:13",POOR
"d8:9c:8e:00:3a:8e","8C:76:3F:1B:36:2A",FAIR
"d8:9c:8e:00:3a:a2","B8:A5:35:9C:07:A6",POOR
"d8:9c:8e:00:3a:a7","40:75:C3:07:5C:CA",POOR
"d8:9c:8e:00:3a:b6","F8:D0:0E:60:DC:84",POOR
"d8:9c:8e:00:3a:c0","10:36:AA:24:7F:78",GOOD
"d8:9c:8e:00:3a:d9","3C:2D:9E:E5:FD:1C",FAIR
"d8:9c:8e:00:3b:10","F8:D0:0E:A9:3B:64",FAIR
"d8:9c:8e:00:3b:1f","10:36:AA:F2:92:0C",POOR
"d8:9c:8e:00:3b:24","E4:BF:FA:7A:3C:39",POOR
"d8:9c:8e:00:3b:3d","D4:E2:CB:ED:14:F1",FAIR
"d8:9c:8e:00:3b:51","80:DA:C2:91:C3:F4",POOR
"d8:9c:8e:00:3b:60","10:36:AA:C2:A2:E4",FAIR
"d8:9c:8e:00:3b:65","40:0F:C1:FD:E4:EC",GOOD
"d8:9c:8e:00:3b:6f","80:DA:C2:F3:E1:10",GOOD
"d8:9c:8e:00:3b:9c","B8:5E:71:45:89:09",POOR
"d8:9c:8e:00:3b:a1","88:9E:68:6D:94:8F",POOR
"d8:9c:8e:00:3b:a6","B8:A5:35:9A:75:36",EXCELLENT
"d8:9c:8e:00:3b:bf","80:DA:C2:EB:F8:C8",EXCELLENT
"d8:9c:8e:00:3b:c4","CC:F3:C8:C5:01:EC",POOR
"d8:9c:8e:00:3b:e2","0C:FE:7B:34:1C:9C",POOR
"d8:9c:8e:00:3b:e7","B8:5E:71:FE:5A:C4",FAIR
"d8:9c:8e:00:3c:00","5C:7D:7D:7B:34:2E",FAIR
"d8:9c:8e:00:3c:05","B8:5E:71:49:09:29",GOOD
"d8:9c:8e:00:3c:0a","48:BD:CE:86:9F:34",POOR
"d8:9c:8e:00:3c:32","3C:2D:9E:8E:5A:70",POOR
"d8:9c:8e:00:3c:64","B8:5E:71:FE:29:8C",FAIR
"d8:9c:8e:00:3c:69","40:75:C3:E8:86:1C",POOR
"d8:9c:8e:00:3c:87","B8:5E:71:FC:59:8C",FAIR
"d8:9c:8e:00:3c:9b","F8:D0:0E:73:27:3C",FAIR
"d8:9c:8e:00:3c:b9","AC:DB:48:0A:BB:4B",POOR
"d8:9c:8e:00:3c:c3","8C:76:3F:28:2C:4C",FAIR
"d8:9c:8e:00:3c:d7","B8:5E:71:F8:AA:64",FAIR
"d8:9c:8e:00:3c:dc","00:CB:7A:C4:07:08",EXCELLENT
"d8:9c:8e:00:3c:fa","F8:D2:AC:03:6A:90",EXCELLENT
"d8:9c:8e:00:3c:ff","F8:D0:0E:A9:10:04",POOR
"d8:9c:8e:00:3d:27","40:0F:C1:47:C4:0E",POOR
"d8:9c:8e:00:3d:36","48:BD:CE:EB:FD:72",EXCELLENT
"d8:9c:8e:00:3d:3b","48:BD:CE:85:F0:BC",POOR
"d8:9c:8e:00:3d:45","1C:9E:CC:D8:5E:C3",FAIR
"d8:9c:8e:00:3d:63","B8:5E:71:45:C5:D1",POOR
"d8:9c:8e:00:3d:68","1C:9D:72:D7:49:4C",GOOD
"d8:9c:8e:00:3d:6d","D4:E2:CB:D5:6A:50",FAIR
"d8:9c:8e:00:3d:9f","D4:E2:CB:9D:86:64",GOOD
"d8:9c:8e:00:3d:e0","F8:D0:0E:9F:90:CC",POOR
"d8:9c:8e:00:3d:f9","5C:7D:7D:7A:91:C9",EXCELLENT
"d8:9c:8e:00:3e:21","80:DA:C2:1E:37:B0",POOR
"d8:9c:8e:00:3e:67","94:04:E3:A2:D0:70",EXCELLENT
"d8:9c:8e:00:3e:71","AC:4C:A5:4D:4D:4C",FAIR
"d8:9c:8e:00:3e:9e","F8:D0:0E:A9:6E:CC",FAIR
"d8:9c:8e:00:3e:a3","B8:5E:71:59:23:C0",GOOD
"d8:9c:8e:00:3e:ad","CC:F3:C8:C1:E7:14",POOR
"d8:9c:8e:00:3e:c1","8C:6A:8D:4D:11:72",POOR
"d8:9c:8e:00:3e:c6","D4:6C:6D:66:87:28",GOOD
"d8:9c:8e:00:3e:df","1C:9E:CC:4C:66:ED",EXCELLENT
"d8:9c:8e:00:3e:e4","B8:5E:71:51:EC:61",GOOD
"d8:9c:8e:00:3f:02","F8:79:0A:58:4D:7F",FAIR
"d8:9c:8e:00:3f:2a","1C:9D:72:3A:83:FE",FAIR
"d8:9c:8e:00:3f:57","64:67:72:AE:00:C1",FAIR
"d8:9c:8e:00:3f:7a","B8:A5:35:92:61:1E",FAIR
"d8:9c:8e:00:3f:89","1C:9D:72:2F:33:40",EXCELLENT
"d8:9c:8e:00:3f:93","B8:A5:35:9E:C3:B6",FAIR
"d8:9c:8e:00:3f:98","D4:6C:6D:FB:CB:90",POOR
"d8:9c:8e:00:3f:a7","64:67:72:AE:87:50",POOR
"d8:9c:8e:00:3f:b1","0C:FE:7B:27:C3:34",UNAVAILABLE
"d8:9c:8e:00:3f:d4","B8:5E:71:48:18:49",GOOD
"d8:9c:8e:00:3f:de","C4:50:9C:FD:EE:64",GOOD
"d8:9c:8e:00:3f:e3","94:04:E3:88:39:5C",FAIR
"d8:9c:8e:00:40:4c","40:75:C3:FB:46:14",EXCELLENT
"d8:9c:8e:00:40:56","F8:5E:42:4D:19:6E",FAIR
"d8:9c:8e:00:40:60","D4:6C:6D:CF:87:CF",POOR
"d8:9c:8e:00:40:7e","94:04:E3:A4:D8:88",POOR
"d8:9c:8e:00:40:a6","40:75:C3:E6:AA:34",POOR
"d8:9c:8e:00:40:ce","F8:D0:0E:A9:20:2C",FAIR
"d8:9c:8e:00:40:e2","10:36:AA:7D:2A:74",FAIR
"d8:9c:8e:00:40:e7","B8:5E:71:33:51:69",GOOD
"d8:9c:8e:00:40:f6","40:75:C3:F8:9B:F4",POOR
"d8:9c:8e:00:41:19","40:75:C3:FB:23:AC",FAIR
"d8:9c:8e:00:41:32","80:DA:C2:DE:61:7B",FAIR
"d8:9c:8e:00:41:46","00:CB:7A:05:3A:50",GOOD
"d8:9c:8e:00:41:50","48:BD:CE:85:E9:7C",FAIR
"d8:9c:8e:00:41:64","B8:A5:35:A2:B9:3E",POOR
"d8:9c:8e:00:41:6e","40:0F:C1:4B:3E:A6",FAIR
"d8:9c:8e:00:41:78","70:13:01:69:85:C4",FAIR
"d8:9c:8e:00:41:8c","40:75:C3:F1:B8:E4",EXCELLENT
"d8:9c:8e:00:41:a0","B8:A5:35:91:EE:9E",GOOD
"d8:9c:8e:00:41:a5","40:0F:C1:C2:03:F4",POOR
"d8:9c:8e:00:41:b4","B8:5E:71:FD:9A:5C",EXCELLENT
"d8:9c:8e:00:41:be","E0:DB:D1:1F:58:18",FAIR
"d8:9c:8e:00:41:d7","10:A7:93:0C:EC:B8",GOOD
"d8:9c:8e:00:41:f5","80:DA:C2:1C:E9:00",POOR
"d8:9c:8e:00:41:ff","94:04:E3:E6:5F:7C",FAIR
"d8:9c:8e:00:42:13","B8:5E:71:FA:24:34",FAIR
"d8:9c:8e:00:42:22","B8:5E:71:F2:66:4C",POOR
"d8:9c:8e:00:42:27","F8:D0:0E:A9:7D:74",GOOD
"d8:9c:8e:00:42:72","A0:FF:70:FD:64:6E",POOR
"d8:9c:8e:00:42:7c","F8:D0:0E:F7:47:34",EXCELLENT
"d8:9c:8e:00:42:86","E4:BF:FA:BF:3D:B7",POOR
"d8:9c:8e:00:42:9f","AC:DB:48:CF:18:39",POOR
"d8:9c:8e:00:42:bd","C4:50:9C:F7:F4:EC",FAIR
"d8:9c:8e:00:42:d6","40:75:C3:F2:6E:0C",POOR
"d8:9c:8e:00:42:db","48:BD:CE:82:46:8C",GOOD
"d8:9c:8e:00:42:e5","C4:50:9C:8D:B7:BC",POOR
"d8:9c:8e:00:42:ef","F8:D2:AC:02:47:50",GOOD
"d8:9c:8e:00:42:fe","48:4B:D4:56:F4:1E",POOR
"d8:9c:8e:00:43:17","CC:F3:C8:6E:F5:EC",POOR
"d8:9c:8e:00:43:3f","0C:FE:7B:A2:AB:2C",EXCELLENT
"d8:9c:8e:00:43:44","94:04:E3:8A:BD:14",POOR
"d8:9c:8e:00:43:76","0C:FE:7B:77:78:B4",POOR
"d8:9c:8e:00:43:8a","80:DA:C2:EA:FE:18",POOR
"d8:9c:8e:00:43:94","94:04:E3:9C:A6:44",FAIR
"d8:9c:8e:00:43:a3","80:DA:C2:92:E4:9C",FAIR
"d8:9c:8e:00:43:e9","B8:5E:71:33:D8:09",FAIR
"d8:9c:8e:00:43:f3","F8:5E:42:AB:2F:03",FAIR
"d8:9c:8e:00:43:f8","B8:A5:35:9A:5B:46",POOR
"d8:9c:8e:00:44:0c","08:A7:C0:2B:A6:9E",FAIR
"d8:9c:8e:00:44:11","C0:94:35:4C:BC:45",POOR
"d8:9c:8e:00:44:20","CC:F3:C8:C3:BA:C4",FAIR
"d8:9c:8e:00:44:34","B8:5E:71:24:FD:72",FAIR
"d8:9c:8e:00:44:57","F8:D2:AC:AE:D4:B5",FAIR
"d8:9c:8e:00:44:66","CC:F3:C8:73:2A:64",POOR
"d8:9c:8e:00:44:6b","F8:5E:42:F5:BE:A6",GOOD
"d8:9c:8e:00:44:70","80:DA:C2:F2:7F:98",FAIR
"d8:9c:8e:00:44:7f","B8:5E:71:59:DB:17",FAIR
"d8:9c:8e:00:44:93","F8:D2:AC:02:3C:D8",POOR
"d8:9c:8e:00:44:ac","40:75:C3:3E:A2:0C",POOR
"d8:9c:8e:00:44:c0","70:13:01:83:E0:AC",FAIR
"d8:9c:8e:00:44:ca","B8:5E:71:49:6B:69",FAIR
"d8:9c:8e:00:44:cf","C0:94:35:2E:28:EA",POOR
"d8:9c:8e:00:44:d4","B8:5E:71:1E:2D:7D",GOOD
"d8:9c:8e:00:44:de","3C:2D:9E:86:D1:14",GOOD
"d8:9c:8e:00:44:ed","C4:50:9C:94:37:34",GOOD
"d8:9c:8e:00:44:f2","A8:70:5D:6F:A3:A0",POOR
"d8:9c:8e:00:45:0b","B8:A5:35:A8:19:2E",POOR
"d8:9c:8e:00:45:1a","10:A7:93:06:6B:78",POOR
"d8:9c:8e:00:45:29","94:04:E3:81:48:AC",FAIR
"d8:9c:8e:00:45:38","B8:5E:71:37:83:F1",FAIR
"d8:9c:8e:00:45:42","94:04:E3:8B:1E:1C",GOOD
"d8:9c:8e:00:45:51","C4:4F:D5:F5:F9:2C",FAIR
"d8:9c:8e:00:45:6a","80:DA:C2:8A:A7:54",EXCELLENT
"d8:9c:8e:00:45:74","F8:D2:AC:02:62:E0",GOOD
"d8:9c:8e:00:45:83","D4:E2:CB:9F:0C:C4",POOR
"d8:9c:8e:00:45:a6","48:BD:CE:80:DF:4C",FAIR
"d8:9c:8e:00:45:bf","AC:DB:48:13:FE:65",POOR
"d8:9c:8e:00:45:d3","CC:F3:C8:C2:03:F4",POOR
"d8:9c:8e:00:45:dd","A8:70:5D:A3:E6:D6",FAIR
"d8:9c:8e:00:45:f1","B8:5E:71:53:F2:DF",POOR
"d8:9c:8e:00:46:05","94:F7:BE:8B:FF:B0",GOOD
"d8:9c:8e:00:46:2d","B8:A5:35:96:F9:26",FAIR
"d8:9c:8e:00:46:32","B8:5E:71:F8:D3:CC",POOR
"d8:9c:8e:00:46:37","98:9D:5D:87:A8:FC",GOOD
"d8:9c:8e:00:46:41","EC:A8:1F:FF:90:3C",EXCELLENT
"d8:9c:8e:00:46:50","B8:5E:71:39:D3:91",POOR
"d8:9c:8e:00:46:78","40:75:C3:35:3F:8C",GOOD
"d8:9c:8e:00:46:7d","40:0F:C1:8A:B8:FB",POOR
"d8:9c:8e:00:46:96","CC:F3:C8:6B:94:D4",FAIR
"d8:9c:8e:00:46:af","F8:D0:0E:E6:53:9C",FAIR
"d8:9c:8e:00:46:be","E4:BF:FA:83:8F:C5",GOOD
"d8:9c:8e:00:46:dc","B8:A5:35:96:E8:BE",POOR
"d8:9c:8e:00:46:e1","00:CB:7A:0B:58:EB",EXCELLENT
"d8:9c:8e:00:46:e6","80:DA:C2:7B:04:1C",FAIR
"d8:9c:8e:00:46:f5","C4:4F:D5:08:6F:A8",FAIR
"d8:9c:8e:00:47:0e","0C:FE:7B:30:89:4C",GOOD
"d8:9c:8e:00:47:2c","CC:F3:C8:C2:2B:94",FAIR
"d8:9c:8e:00:47:40","0C:FE:7B:64:B3:EC",FAIR
"d8:9c:8e:00:47:68","98:52:4A:FE:5F:0F",GOOD
"d8:9c:8e:00:47:6d","1C:9D:72:D9:F7:FB",POOR
"d8:9c:8e:00:47:86","A8:70:5D:D6:98:7B",POOR
"d8:9c:8e:00:47:a9","1C:93:7C:2D:A1:47",UNAVAILABLE
"d8:9c:8e:00:47:b8","80:DA:C2:7E:8C:C4",FAIR
"d8:9c:8e:00:47:bd","1C:9E:CC:D1:6E:3D",POOR
"d8:9c:8e:00:47:db","40:75:C3:4F:B8:4C",POOR
"d8:9c:8e:00:47:ea","3C:2D:9E:A9:BF:7C",POOR
"d8:9c:8e:00:48:03","70:13:01:46:33:D4",FAIR
"d8:9c:8e:00:48:08","0C:FE:7B:E2:CB:2C",POOR
"d8:9c:8e:00:48:21","C4:50:9C:86:4D:1C",FAIR
"d8:9c:8e:00:48:3a","E0:DB:D1:47:47:52",FAIR
"d8:9c:8e:00:48:44","D4:6C:6D:12:8C:65",POOR
"d8:9c:8e:00:48:53","C4:4F:D5:4D:24:84",POOR
"d8:9c:8e:00:48:58","B8:5E:71:4F:57:C8",FAIR
"d8:9c:8e:00:48:62","A0:FF:70:22:88:C3",EXCELLENT
"d8:9c:8e:00:48:94","B8:5E:71:FC:3A:DC",GOOD
"d8:9c:8e:00:48:ad","B8:5E:71:FA:30:F4",FAIR
"d8:9c:8e:00:48:d5","80:DA:C2:00:3C:05",FAIR
"d8:9c:8e:00:48:df","CC:F3:C8:C4:60:C4",POOR
"d8:9c:8e:00:48:e9","AC:DB:48:D3:A4:D9",FAIR
"d8:9c:8e:00:48:ee","0C:FE:7B:C0:E4:04",POOR
"d8:9c:8e:00:48:f3","94:04:E3:F9:AC:C2",GOOD
"d8:9c:8e:00:49:02","3C:82:C0:F4:9D:1E",GOOD
"d8:9c:8e:00:49:20","5C:7D:7D:32:EF:02",POOR
"d8:9c:8e:00:49:25","A8:70:5D:9A:60:B3",POOR
"d8:9c:8e:00:49:2f","80:DA:C2:FF:50:90",FAIR
"d8:9c:8e:00:49:34","C4:50:9C:2B:86:A4",POOR
"d8:9c:8e:00:49:39","3C:2D:9E:ED:E7:1C",POOR
"d8:9c:8e:00:49:43","C4:50:9C:94:C7:D4",POOR
"d8:9c:8e:00:49:4d","C4:4F:D5:DA:48:DC",FAIR
"d8:9c:8e:00:49:57","B8:A5:35:9A:B4:46",POOR
"d8:9c:8e:00:49:a2","F8:D2:AC:AE:DD:FA",FAIR
"d8:9c:8e:00:49:a7","CC:F3:C8:C4:8F:4C",FAIR
"d8:9c:8e:00:49:c0","0C:FE:7B:CB:02:4C",FAIR
"d8:9c:8e:00:49:d9","40:75:C3:45:0C:0C",FAIR
"d8:9c:8e:00:49:de","48:BD:CE:FB:E0:C4",POOR
"d8:9c:8e:00:49:ed","3C:2D:9E:EE:76:2C",EXCELLENT
"d8:9c:8e:00:49:fc","3C:82:C0:DF:47:7C",POOR
"d8:9c:8e:00:4a:01","94:04:E3:DF:39:E4",POOR
"d8:9c:8e:00:4a:06","0C:FE:7B:EE:F6:6C",POOR
"d8:9c:8e:00:4a:29","B8:5E:71:37:F3:89",POOR
"d8:9c:8e:00:4a:2e","B8:5E:71:2F:34:70",FAIR
"d8:9c:8e:00:4a:33","40:75:C3:F1:5C:A4",POOR
"d8:9c:8e:00:4a:56","5C:7D:7D:2A:93:E8",FAIR
"d8:9c:8e:00:4a:65","1C:9D:72:CE:25:CB",GOOD
"d8:9c:8e:00:4a:6a","10:A7:93:0A:71:A0",POOR
"d8:9c:8e:00:4a:6f","98:9D:5D:CF:52:0E",POOR
"d8:9c:8e:00:4a:74","E0:DB:D1:F6:4A:7C",POOR
"d8:9c:8e:00:4a:7e","AC:4C:A5:33:67:34",FAIR
"d8:9c:8e:00:4a:88","B8:A5:35:9B:25:AE",FAIR
"d8:9c:8e:00:4a:a1","C4:4F:D5:81:C5:FC",FAIR
"d8:9c:8e:00:4a:ba","D4:6C:6D:9A:40:ED",GOOD
"d8:9c:8e:00:4a:c4","C4:50:9C:54:41:B4",FAIR
"d8:9c:8e:00:4a:d3","70:13:01:16:84:D0",POOR
"d8:9c:8e:00:4a:d8","E0:DB:D1:E2:D2:75",POOR
"d8:9c:8e:00:4a:e2","D4:6C:6D:C7:47:1F",POOR
"d8:9c:8e:00:4a:f6","5C:7D:7D:30:DD:2B",FAIR
"d8:9c:8e:00:4b:41","10:A7:93:01:BD:60",POOR
"d8:9c:8e:00:4b:4b","CC:F3:C8:67:45:CC",FAIR
"d8:9c:8e:00:4b:73","40:75:C3:34:7E:D4",POOR
"d8:9c:8e:00:4b:82","B8:5E:71:37:48:49",FAIR
"d8:9c:8e:00:4b:91","AC:4C:A5:AA:A9:F0",POOR
"d8:9c:8e:00:4b:9b","48:BD:CE:82:E8:84",FAIR
"d8:9c:8e:00:4b:a0","B8:5E:71:FD:D7:2C",GOOD
"d8:9c:8e:00:4b:a5","80:DA:C2:8C:8A:0C",POOR
"d8:9c:8e:00:4b:aa","1C:93:7C:71:8C:B1",GOOD
"d8:9c:8e:00:4b:af","40:75:C3:00:DA:A0",POOR
"d8:9c:8e:00:4b:b9","CC:F3:C8:6A:E8:24",FAIR
"d8:9c:8e:00:4b:be","10:A7:93:07:1D:30",GOOD
"d8:9c:8e:00:4b:c8","40:0F:C1:47:B3:26",POOR
"d8:9c:8e:00:4b:e6","94:04:E3:82:6C:0C",FAIR
"d8:9c:8e:00:4b:ff","40:0F:C1:D0:27:9C",FAIR
"d8:9c:8e:00:4c:0e","C0:94:35:2C:1F:BF",POOR
"d8:9c:8e:00:4c:13","B8:5E:71:F7:A4:FC",FAIR
"d8:9c:8e:00:4c:22","C0:94:35:56:4A:BD",POOR
"d8:9c:8e:00:4c:2c","80:DA:C2:83:3D:74",FAIR
"d8:9c:8e:00:4c:31","AC:DB:48:75:9B:58",POOR
"d8:9c:8e:00:4c:4a","3C:82:C0:06:6F:AC",POOR
"d8:9c:8e:00:4c:4f","80:DA:C2:0C:35:02",POOR
"d8:9c:8e:00:4c:63","40:75:C3:3E:98:A4",FAIR
"d8:9c:8e:00:4c:7c","E0:DB:D1:46:2F:8A",GOOD
"d8:9c:8e:00:4c:ae","80:DA:C2:8A:74:2C",POOR
"d8:9c:8e:00:4c:bd","48:4B:D4:66:00:4E",FAIR
"d8:9c:8e:00:4c:c7","E0:DB:D1:49:0F:E1",FAIR
"d8:9c:8e:00:4c:d1","0C:FE:7B:31:C2:0C",FAIR
"d8:9c:8e:00:4c:db","F4:C1:14:B5:46:BB",POOR
"d8:9c:8e:00:4d:08","48:BD:CE:DD:7F:D4",POOR
"d8:9c:8e:00:4d:35","3C:2D:9E:B5:D1:6C",FAIR
"d8:9c:8e:00:4d:3a","40:0F:C1:8C:61:F3",FAIR
"d8:9c:8e:00:4d:53","B8:5E:71:5E:80:84",POOR
"d8:9c:8e:00:4d:76","3C:2D:9E:C8:7A:B4",EXCELLENT
"d8:9c:8e:00:4d:85","F8:79:0A:FC:27:25",FAIR
"d8:9c:8e:00:4d:8f","80:DA:C2:1B:50:D8",POOR
"d8:9c:8e:00:4d:bc","80:DA:C2:7D:7C:24",POOR
"d8:9c:8e:00:4d:c1","AC:DB:48:62:1C:D3",FAIR
"d8:9c:8e:00:4d:d0","C4:50:9C:1F:61:BC",POOR
"d8:9c:8e:00:4d:d5","B8:A5:35:93:17:3E",POOR
"d8:9c:8e:00:4d:da","1C:93:7C:71:39:76",EXCELLENT
"d8:9c:8e:00:4e:2a","80:DA:C2:2A:8D:B8",POOR
"d8:9c:8e:00:4e:2f","98:9D:5D:86:7E:80",GOOD
"d8:9c:8e:00:4e:39","48:BD:CE:0D:6F:9B",POOR
"d8:9c:8e:00:4e:43","5C:7D:7D:21:44:0D",POOR
"d8:9c:8e:00:4e:52","80:DA:C2:87:42:14",GOOD
"d8:9c:8e:00:4e:57","98:9D:5D:85:4B:D7",EXCELLENT
"d8:9c:8e:00:4e:5c","CC:F3:C8:6B:45:9C",FAIR
"d8:9c:8e:00:4e:66","80:DA:C2:88:B8:0C",POOR
"d8:9c:8e:00:4e:6b","C4:50:9C:FE:74:3C",POOR
"d8:9c:8e:00:4e:7a","94:04:E3:A3:58:A8",POOR
"d8:9c:8e:00:4e:93","CC:F3:C8:C0:BD:BC",POOR
"d8:9c:8e:00:4e:98","1C:9E:CC:1A:26:72",FAIR
"d8:9c:8e:00:4e:bb","F8:D2:AC:07:4E:A0",FAIR
"d8:9c:8e:00:4e:ca","C4:4F:D5:CA:C0:04",FAIR
